Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,1.4574999999999998,0.6291666666666667,2.13,2.13,0.0,0.0,15.4,14.0,0.0,0.0137,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node2,1.0133333333333334,0.4641666666666666,2.33,2.17,0.0,0.0,48.8,23.4,0.0,0.0229,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node6,1.4574999999999998,0.4358333333333333,2.03,2.03,0.0,0.0,12.1,0.535,0.0,0.0005,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node5,1.1916666666666669,0.5541666666666667,2.1,2.09,0.0,0.0,32.9,0.355,0.0,0.0003,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node3,1.27,0.6808333333333333,2.82,2.81,0.0,0.0,125.0,62.8,0.0001,0.0613,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node1,0.8941666666666667,0.3916666666666666,2.35,2.35,0.0,0.0,26.3,0.875,0.0,0.0009,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node4,1.4574999999999998,0.6291666666666667,2.13,2.13,0.0,0.0,15.4,14.0,0.0,0.0137,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node2,1.0133333333333334,0.4641666666666666,2.33,2.17,0.0,0.0,48.8,23.4,0.0,0.0229,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node6,1.4574999999999998,0.4358333333333333,2.03,2.03,0.0,0.0,12.1,0.535,0.0,0.0005,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node5,1.1916666666666669,0.5541666666666667,2.1,2.09,0.0,0.0,32.9,0.355,0.0,0.0003,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node3,1.27,0.6808333333333333,2.82,2.81,0.0,0.0,125.0,62.8,0.0001,0.0613,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node1,0.8941666666666667,0.3916666666666666,2.35,2.35,0.0,0.0,26.3,0.875,0.0,0.0009,0.0,createCredentialDefinition_report_100_20250326-100947.html,100
/node4,1.5466666666666666,0.5891666666666667,2.07,2.04,0.0,0.0,9.46,2.89,0.0,0.0028,0.0,createCredentialDefinition_report_100_20250326-094432.html,100
