Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.1883333333333333,0.0633333333333333,2.26,2.26,0.0,0.0,2.46,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node2,0.2108333333333333,0.0616666666666666,2.41,2.41,0.0,0.0,1.84,0.434,0.0,0.0004,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node6,0.1875,0.0558333333333333,4.17,4.17,0.0,0.0,39.4,36.6,0.0,0.0357,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node5,0.2091666666666666,0.0633333333333333,2.75,2.75,0.0,0.0,4.87,0.0625,0.0,0.0001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node3,0.1975,0.0583333333333333,2.15,2.14,0.0,0.0,13.4,0.996,0.0,0.001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node1,0.3075,0.09,2.78,2.77,0.0,0.0,10.9,0.523,0.0,0.0005,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node4,0.1883333333333333,0.0633333333333333,2.26,2.26,0.0,0.0,2.46,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node2,0.2108333333333333,0.0616666666666666,2.41,2.41,0.0,0.0,1.84,0.434,0.0,0.0004,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node6,0.1875,0.0558333333333333,4.17,4.17,0.0,0.0,39.4,36.6,0.0,0.0357,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node5,0.2091666666666666,0.0633333333333333,2.75,2.75,0.0,0.0,4.87,0.0625,0.0,0.0001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node3,0.1975,0.0583333333333333,2.15,2.14,0.0,0.0,13.4,0.996,0.0,0.001,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node1,0.3075,0.09,2.78,2.77,0.0,0.0,10.9,0.523,0.0,0.0005,0.0,createRevocationRegistry_report_100_20250326-083136.html,100
/node4,0.2208333333333333,0.08,1.78,1.78,0.0,0.0,1.65,12.0,0.0,0.0117,0.0,createRevocationRegistry_report_100_20250326-020313.html,100
/node2,0.215,0.0725,2.72,2.72,0.0,0.0,1.56,0.0,0.0,0.0,0.0,createRevocationRegistry_report_100_20250326-020313.html,100
/node6,0.2033333333333333,0.0691666666666666,1.78,1.78,0.0,0.0,0.563,28.0,0.0,0.0273,0.0,createRevocationRegistry_report_100_20250326-020313.html,100
/node5,0.2275,0.1258333333333333,1.77,1.77,0.0,0.0,0.594,0.0,0.0,0.0,0.0,createRevocationRegistry_report_100_20250326-020313.html,100
