Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.0675,0.0308333333333333,2.0,1.99,0.0,0.0,8.37,37.0,0.0,0.0361,0.0,createSchema_report_20_20250326-093913.html,20
/node2,0.3941666666666667,0.16,1.93,1.91,0.0,0.0,11.2,58.2,0.0,0.0568,0.0,createSchema_report_20_20250326-093913.html,20
/node6,0.2233333333333333,0.1091666666666666,3.64,3.62,0.0,0.0,11.9,33.6,0.0,0.0328,0.0,createSchema_report_20_20250326-093913.html,20
/node5,0.2183333333333333,0.1125,2.08,2.07,0.0,0.0,8.27,42.1,0.0,0.0411,0.0,createSchema_report_20_20250326-093913.html,20
/node3,0.2325,0.1149999999999999,1.88,1.87,0.0,0.0,12.0,30.3,0.0,0.0296,0.0,createSchema_report_20_20250326-093913.html,20
/node1,0.4633333333333333,0.1866666666666666,2.76,2.75,0.0,0.0,8.46,44.8,0.0,0.0437,0.0,createSchema_report_20_20250326-093913.html,20
/node4,0.0675,0.0308333333333333,2.0,1.99,0.0,0.0,8.37,37.0,0.0,0.0361,0.0,createSchema_report_20_20250326-093913.html,20
/node2,0.3941666666666667,0.16,1.93,1.91,0.0,0.0,11.2,58.2,0.0,0.0568,0.0,createSchema_report_20_20250326-093913.html,20
/node6,0.2233333333333333,0.1091666666666666,3.64,3.62,0.0,0.0,11.9,33.6,0.0,0.0328,0.0,createSchema_report_20_20250326-093913.html,20
/node5,0.2183333333333333,0.1125,2.08,2.07,0.0,0.0,8.27,42.1,0.0,0.0411,0.0,createSchema_report_20_20250326-093913.html,20
/node3,0.2325,0.1149999999999999,1.88,1.87,0.0,0.0,12.0,30.3,0.0,0.0296,0.0,createSchema_report_20_20250326-093913.html,20
/node1,0.4633333333333333,0.1866666666666666,2.76,2.75,0.0,0.0,8.46,44.8,0.0,0.0437,0.0,createSchema_report_20_20250326-093913.html,20
/node4,0.0633333333333333,0.0275,2.08,2.08,0.0,0.0,1.05,10.3,0.0,0.0101,0.0,createSchema_report_20_20250326-021711.html,20
/node2,0.0691666666666666,0.0258333333333333,2.27,2.27,0.0,0.0,3.07,11.3,0.0,0.011,0.0,createSchema_report_20_20250326-021711.html,20
/node6,0.0783333333333333,0.0325,2.01,2.01,0.0,0.0,0.0,13.0,0.0,0.0127,0.0,createSchema_report_20_20250326-021711.html,20
/node5,0.0733333333333333,0.0291666666666666,2.03,2.03,0.0,0.0,3.13,0.75,0.0,0.0007,0.0,createSchema_report_20_20250326-021711.html,20
/node3,0.0608333333333333,0.0241666666666666,2.03,2.03,0.0,0.0,3.11,0.617,0.0,0.0006,0.0,createSchema_report_20_20250326-021711.html,20
/node1,0.0941666666666666,0.0416666666666666,2.26,2.22,0.0,0.0,3.26,0.125,0.0,0.0001,0.0,createSchema_report_20_20250326-021711.html,20
/node4,0.0633333333333333,0.0275,2.08,2.08,0.0,0.0,1.05,10.3,0.0,0.0101,0.0,createSchema_report_20_20250326-021711.html,20
/node2,0.0691666666666666,0.0258333333333333,2.27,2.27,0.0,0.0,3.07,11.3,0.0,0.011,0.0,createSchema_report_20_20250326-021711.html,20
/node6,0.0783333333333333,0.0325,2.01,2.01,0.0,0.0,0.0,13.0,0.0,0.0127,0.0,createSchema_report_20_20250326-021711.html,20
/node5,0.0733333333333333,0.0291666666666666,2.03,2.03,0.0,0.0,3.13,0.75,0.0,0.0007,0.0,createSchema_report_20_20250326-021711.html,20
/node3,0.0608333333333333,0.0241666666666666,2.03,2.03,0.0,0.0,3.11,0.617,0.0,0.0006,0.0,createSchema_report_20_20250326-021711.html,20
