Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.9566666666666667,0.4033333333333333,2.4,2.28,0.0,0.0,8.29,17.8,0.0,0.0174,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node2,1.0016666666666667,0.4475,2.14,2.14,0.0,0.0,8.04,25.9,0.0,0.0253,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node6,1.6558333333333335,0.8616666666666667,2.08,2.08,0.0,0.0,15.2,10.5,0.0,0.0103,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node5,1.0183333333333333,0.4375,2.04,2.04,0.0,0.0,8.82,17.9,0.0,0.0175,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node3,1.0525,0.4766666666666666,2.07,2.06,0.0,0.0,8.47,21.0,0.0,0.0205,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node1,1.4341666666666668,0.5491666666666667,2.19,2.19,0.0,0.0,18.7,52.4,0.0,0.0512,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node4,0.9566666666666667,0.4033333333333333,2.4,2.28,0.0,0.0,8.29,17.8,0.0,0.0174,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node2,1.0016666666666667,0.4475,2.14,2.14,0.0,0.0,8.04,25.9,0.0,0.0253,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node6,1.6558333333333335,0.8616666666666667,2.08,2.08,0.0,0.0,15.2,10.5,0.0,0.0103,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node5,1.0183333333333333,0.4375,2.04,2.04,0.0,0.0,8.82,17.9,0.0,0.0175,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
/node3,1.0525,0.4766666666666666,2.07,2.06,0.0,0.0,8.47,21.0,0.0,0.0205,0.0,createCredentialDefinition_report_80_20250326-104119.html,80
