Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
createCredentialDefinition,801,0,80.2,13.67,0.25,10.53,42.1,createCredentialDefinition_report_80_20250326-104119.html,80
createCredentialDefinition,1201,0,120.2,19.3,5.73,14.83,45.2,createCredentialDefinition_report_120_20250326-101021.html,120
createCredentialDefinition,401,0,40.1,8.08,1.46,4.72,29.3,createCredentialDefinition_report_40_20250326-100825.html,40
createCredentialDefinition,1001,0,100.1,14.78,4.56,10.97,45.4,createCredentialDefinition_report_100_20250326-100947.html,100
createCredentialDefinition,801,0,80.1,18.59,3.0,13.84,31.9,createCredentialDefinition_report_80_20250326-094354.html,80
createCredentialDefinition,801,0,80.2,13.55,7.31,10.39,43.1,createCredentialDefinition_report_80_20250326-105032.html,80
createCredentialDefinition,601,0,60.2,9.66,2.26,6.06,41.2,createCredentialDefinition_report_60_20250326-100851.html,60
createCredentialDefinition,801,0,80.1,12.62,1.23,9.81,43.0,createCredentialDefinition_report_80_20250326-100917.html,80
createCredentialDefinition,1001,0,100.1,25.85,2.85,18.5,31.3,createCredentialDefinition_report_100_20250326-094432.html,100
createCredentialDefinition,1201,0,120.1,23.6,10.57,17.57,41.9,createCredentialDefinition_report_120_20250326-105151.html,120
createCredentialDefinition,201,0,20.1,6.18,1.24,3.77,13.8,createCredentialDefinition_report_20_20250326-104914.html,20
createCredentialDefinition,401,0,40.1,7.8,1.1,4.73,29.4,createCredentialDefinition_report_40_20250326-104027.html,40
createCredentialDefinition,601,0,60.1,13.25,5.78,9.34,33.4,createCredentialDefinition_report_60_20250326-094323.html,60
createCredentialDefinition,601,0,60.1,9.66,2.15,5.85,42.0,createCredentialDefinition_report_60_20250326-105006.html,60
createCredentialDefinition,1201,0,120.1,23.09,0.34,17.54,42.0,createCredentialDefinition_report_120_20250326-102741.html,120
createCredentialDefinition,201,0,20.1,6.34,1.23,3.71,14.0,createCredentialDefinition_report_20_20250326-102505.html,20
createCredentialDefinition,601,0,60.1,9.67,2.22,6.02,40.9,createCredentialDefinition_report_60_20250326-102611.html,60
createCredentialDefinition,601,0,60.2,10.15,1.21,6.54,41.0,createCredentialDefinition_report_60_20250326-104053.html,60
createCredentialDefinition,1001,0,100.2,13.83,4.34,10.17,48.9,createCredentialDefinition_report_100_20250326-104150.html,100
createCredentialDefinition,401,0,40.1,8.69,1.8,5.2,28.3,createCredentialDefinition_report_40_20250326-102545.html,40
createCredentialDefinition,801,0,80.2,13.41,0.54,10.81,42.5,createCredentialDefinition_report_80_20250326-102637.html,80
createCredentialDefinition,1201,0,120.2,22.06,11.01,16.78,43.8,createCredentialDefinition_report_120_20250326-104222.html,120
createCredentialDefinition,201,0,20.1,6.81,0.84,3.83,15.2,createCredentialDefinition_report_20_20250326-100800.html,20
createCredentialDefinition,201,0,20.1,6.63,0.4,4.06,17.2,createCredentialDefinition_report_20_20250326-103950.html,20
createCredentialDefinition,401,0,40.1,7.56,1.9,4.69,28.3,createCredentialDefinition_report_40_20250326-104940.html,40
createCredentialDefinition,401,0,40.1,9.24,1.47,6.22,26.5,createCredentialDefinition_report_40_20250326-094256.html,40
createCredentialDefinition,1201,0,120.1,33.74,2.96,24.11,29.7,createCredentialDefinition_report_120_20250326-094517.html,120
createCredentialDefinition,201,0,20.1,6.97,0.94,4.0,15.6,createCredentialDefinition_report_20_20250326-094215.html,20
createCredentialDefinition,1001,0,100.2,15.35,4.92,11.09,47.0,createCredentialDefinition_report_100_20250326-102708.html,100
createCredentialDefinition,1001,0,100.2,14.13,4.25,10.47,48.7,createCredentialDefinition_report_100_20250326-105119.html,100
