Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.8733333333333334,0.255,1.58,1.58,0.0,0.0,4.48,24.0,0.0,0.0234,0.0,createDid_report_40_20250326-014924.html,40
/node2,0.11,0.0375,2.81,2.8,0.0,0.0,0.0,452.0,0.0,0.4414,0.0,createDid_report_40_20250326-014924.html,40
/node6,0.12416666666666666,0.04583333333333334,1.65,1.64,0.0,0.0,4.36,644.0,0.0,0.6289,1e-06,createDid_report_40_20250326-014924.html,40
/node5,0.11083333333333334,0.0375,1.92,1.91,0.0,0.0,7.28,92.0,0.0,0.0898,0.0,createDid_report_40_20250326-014924.html,40
/node3,0.1125,0.049166666666666664,1.65,1.65,0.0,0.0,4.39,0.0,0.0,0.0,0.0,createDid_report_40_20250326-014924.html,40
/node1,0.24,0.11666666666666665,1.65,1.65,0.0,0.0,8.2,36.0,0.0,0.0352,0.0,createDid_report_40_20250326-014924.html,40
/node4,0.8733333333333334,0.255,1.58,1.58,0.0,0.0,4.48,24.0,0.0,0.0234,0.0,createDid_report_40_20250326-014924.html,40
/node2,0.11,0.0375,2.81,2.8,0.0,0.0,0.0,452.0,0.0,0.4414,0.0,createDid_report_40_20250326-014924.html,40
/node6,0.12416666666666666,0.04583333333333334,1.65,1.64,0.0,0.0,4.36,644.0,0.0,0.6289,1e-06,createDid_report_40_20250326-014924.html,40
/node5,0.11083333333333334,0.0375,1.92,1.91,0.0,0.0,7.28,92.0,0.0,0.0898,0.0,createDid_report_40_20250326-014924.html,40
/node3,0.1125,0.049166666666666664,1.65,1.65,0.0,0.0,4.39,0.0,0.0,0.0,0.0,createDid_report_40_20250326-014924.html,40
/node1,0.24,0.11666666666666665,1.65,1.65,0.0,0.0,8.2,36.0,0.0,0.0352,0.0,createDid_report_40_20250326-014924.html,40
/node4,1.5824999999999998,0.7675000000000001,2.08,2.06,0.0,0.0,26.1,2.9,0.0,0.0028,0.0,createDid_report_100_20250326-095934.html,100
/node2,1.8291666666666666,0.7925,2.18,2.15,0.0,0.0,25.2,3.75,0.0,0.0037,0.0,createDid_report_100_20250326-095934.html,100
/node6,1.7066666666666668,0.6408333333333334,2.38,2.36,0.0,0.0,20.8,51.4,0.0,0.0502,0.0,createDid_report_100_20250326-095934.html,100
/node5,1.1191666666666666,0.6441666666666667,2.1,2.1,0.0,0.0,30.1,7.32,0.0,0.0071,0.0,createDid_report_100_20250326-095934.html,100
/node3,1.6466666666666667,0.8516666666666667,2.42,2.17,0.0,0.0,24.3,3.01,0.0,0.0029,0.0,createDid_report_100_20250326-095934.html,100
/node1,1.3241666666666667,0.6525,2.62,2.61,0.0,0.0,29.9,13.3,0.0,0.013,0.0,createDid_report_100_20250326-095934.html,100
/node4,1.5824999999999998,0.7675000000000001,2.08,2.06,0.0,0.0,26.1,2.9,0.0,0.0028,0.0,createDid_report_100_20250326-095934.html,100
/node2,1.8291666666666666,0.7925,2.18,2.15,0.0,0.0,25.2,3.75,0.0,0.0037,0.0,createDid_report_100_20250326-095934.html,100
/node6,1.7066666666666668,0.6408333333333334,2.38,2.36,0.0,0.0,20.8,51.4,0.0,0.0502,0.0,createDid_report_100_20250326-095934.html,100
/node5,1.1191666666666666,0.6441666666666667,2.1,2.1,0.0,0.0,30.1,7.32,0.0,0.0071,0.0,createDid_report_100_20250326-095934.html,100
/node3,1.6466666666666667,0.8516666666666667,2.42,2.17,0.0,0.0,24.3,3.01,0.0,0.0029,0.0,createDid_report_100_20250326-095934.html,100
/node1,1.3241666666666667,0.6525,2.62,2.61,0.0,0.0,29.9,13.3,0.0,0.013,0.0,createDid_report_100_20250326-095934.html,100
/node4,1.4725000000000001,0.7533333333333333,2.04,2.03,0.0,0.0,52.1,13.7,0.0,0.0134,0.0,createDid_report_100_20250326-093424.html,100
/node2,1.035,0.4875,2.08,2.05,0.0,0.0,37.5,11.8,0.0,0.0115,0.0,createDid_report_100_20250326-093424.html,100
/node6,1.2683333333333333,0.7016666666666667,3.52,3.5,0.0,0.0,99.3,55.3,0.0001,0.054,0.0,createDid_report_100_20250326-093424.html,100
/node5,1.1058333333333332,0.5725,2.06,2.05,0.0,0.0,28.4,52.6,0.0,0.0514,0.0,createDid_report_100_20250326-093424.html,100
/node3,1.2808333333333333,0.6216666666666667,2.08,2.07,0.0,0.0,22.6,19.1,0.0,0.0187,0.0,createDid_report_100_20250326-093424.html,100
/node1,1.175,0.5441666666666667,2.66,2.66,0.0,0.0,14.9,15.5,0.0,0.0151,0.0,createDid_report_100_20250326-093424.html,100
/node4,1.4725000000000001,0.7533333333333333,2.04,2.03,0.0,0.0,52.1,13.7,0.0,0.0134,0.0,createDid_report_100_20250326-093424.html,100
