Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
createOrUpdateEntry,1001,0,100.2,6.7,1.45,4.18,72.4,createOrUpdateEntry_report_100_20250326-104440.html,100
createOrUpdateEntry,401,0,40.1,5.81,0.62,3.23,29.6,createOrUpdateEntry_report_40_20250326-101415.html,40
createOrUpdateEntry,1201,0,120.1,7.45,1.53,4.54,86.8,createOrUpdateEntry_report_120_20250326-083451.html,120
createOrUpdateEntry,401,0,40.1,6.75,0.78,3.96,31.9,createOrUpdateEntry_report_40_20250326-094943.html,40
createOrUpdateEntry,601,0,60.1,6.24,0.77,3.48,46.5,createOrUpdateEntry_report_60_20250326-020512.html,60
createOrUpdateEntry,601,0,60.1,7.86,0.7,4.85,47.0,createOrUpdateEntry_report_60_20250326-095009.html,60
createOrUpdateEntry,801,0,80.1,6.92,1.22,3.95,59.7,createOrUpdateEntry_report_80_20250326-020537.html,80
createOrUpdateEntry,1001,0,100.3,7.33,0.99,4.28,78.6,createOrUpdateEntry_report_100_20250326-022808.html,100
createOrUpdateEntry,201,0,20.1,5.5,0.37,2.91,16.2,createOrUpdateEntry_report_20_20250326-020423.html,20
createOrUpdateEntry,401,0,40.1,5.99,0.75,3.27,30.1,createOrUpdateEntry_report_40_20250326-083310.html,40
createOrUpdateEntry,1001,0,100.1,7.95,1.56,4.66,72.2,createOrUpdateEntry_report_100_20250326-103001.html,100
createOrUpdateEntry,401,0,40.1,5.87,0.73,3.36,29.4,createOrUpdateEntry_report_40_20250326-104325.html,40
createOrUpdateEntry,999,0,99.8,7.28,1.35,4.24,73.3,createOrUpdateEntry_report_100_20250326-020602.html,100
createOrUpdateEntry,201,0,20.1,5.67,0.23,3.02,18.0,createOrUpdateEntry_report_20_20250326-101352.html,20
createOrUpdateEntry,601,0,60.2,6.48,0.91,3.61,45.5,createOrUpdateEntry_report_60_20250326-022713.html,60
createOrUpdateEntry,1201,0,120.2,8.25,0.27,5.12,94.4,createOrUpdateEntry_report_120_20250326-104506.html,120
createOrUpdateEntry,601,0,60.1,6.19,1.01,3.54,44.4,createOrUpdateEntry_report_60_20250326-104350.html,60
createOrUpdateEntry,1201,0,120.0,7.45,1.51,4.43,86.0,createOrUpdateEntry_report_120_20250326-020627.html,120
createOrUpdateEntry,201,0,20.1,5.37,0.33,2.85,15.8,createOrUpdateEntry_report_20_20250326-104301.html,20
createOrUpdateEntry,801,0,80.1,6.77,1.66,4.03,55.9,createOrUpdateEntry_report_80_20250326-083400.html,80
createOrUpdateEntry,601,0,60.1,6.24,0.76,3.49,44.4,createOrUpdateEntry_report_60_20250326-083335.html,60
createOrUpdateEntry,1201,0,120.1,7.83,0.43,4.85,95.5,createOrUpdateEntry_report_120_20250326-103027.html,120
createOrUpdateEntry,601,0,60.1,6.23,0.93,3.51,44.3,createOrUpdateEntry_report_60_20250326-102911.html,60
createOrUpdateEntry,797,0,79.7,6.78,1.2,4.02,57.7,createOrUpdateEntry_report_80_20250326-102936.html,80
createOrUpdateEntry,1000,0,100.0,6.96,1.41,4.17,71.7,createOrUpdateEntry_report_100_20250326-083425.html,100
createOrUpdateEntry,801,0,80.1,7.3,1.3,4.25,58.4,createOrUpdateEntry_report_80_20250326-101505.html,80
createOrUpdateEntry,401,0,40.1,5.75,0.45,3.08,30.8,createOrUpdateEntry_report_40_20250326-022648.html,40
createOrUpdateEntry,201,0,20.1,5.37,0.3,2.81,15.8,createOrUpdateEntry_report_20_20250326-022605.html,20
createOrUpdateEntry,401,0,40.1,5.89,0.72,3.25,29.5,createOrUpdateEntry_report_40_20250326-020447.html,40
createOrUpdateEntry,601,0,60.1,6.42,1.01,3.62,44.9,createOrUpdateEntry_report_60_20250326-101440.html,60
createOrUpdateEntry,801,0,80.1,8.89,3.46,6.04,53.4,createOrUpdateEntry_report_80_20250326-095034.html,80
createOrUpdateEntry,401,0,40.1,5.83,0.6,3.28,29.7,createOrUpdateEntry_report_40_20250326-102846.html,40
createOrUpdateEntry,1001,0,100.1,7.01,1.22,4.27,72.7,createOrUpdateEntry_report_100_20250326-101530.html,100
createOrUpdateEntry,801,0,80.2,6.95,1.42,4.06,58.8,createOrUpdateEntry_report_80_20250326-104415.html,80
createOrUpdateEntry,201,0,20.1,5.48,0.34,2.98,15.5,createOrUpdateEntry_report_20_20250326-102821.html,20
createOrUpdateEntry,201,0,20.1,5.97,0.27,3.28,17.2,createOrUpdateEntry_report_20_20250326-094918.html,20
createOrUpdateEntry,1201,0,120.1,7.85,1.49,4.66,87.2,createOrUpdateEntry_report_120_20250326-101556.html,120
createOrUpdateEntry,801,0,80.8,6.68,1.77,4.42,54.9,createOrUpdateEntry_report_80_20250326-022738.html,80
createOrUpdateEntry,201,0,20.1,5.44,0.45,2.9,16.1,createOrUpdateEntry_report_20_20250326-083226.html,20
