Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.235,0.10583333333333333,1.91,1.91,0.0,0.0,1.95,0.992,0.0,0.001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node2,1.2075,0.3725,1.95,1.95,0.0,0.0,1.99,1.25,0.0,0.0012,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node6,0.26,0.12666666666666668,2.82,2.77,0.0,0.0,1.83,112.0,0.0,0.1094,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node5,0.2816666666666667,0.1225,2.0,2.0,0.0,0.0,0.309,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node3,0.2733333333333333,0.12916666666666668,1.9,1.9,0.0,0.0,1.96,0.777,0.0,0.0008,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node1,0.8741666666666666,0.2866666666666667,2.68,2.68,0.0,0.0,2.07,1.92,0.0,0.0019,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node4,0.235,0.10583333333333333,1.91,1.91,0.0,0.0,1.95,0.992,0.0,0.001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node2,1.2075,0.3725,1.95,1.95,0.0,0.0,1.99,1.25,0.0,0.0012,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node6,0.26,0.12666666666666668,2.82,2.77,0.0,0.0,1.83,112.0,0.0,0.1094,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node5,0.2816666666666667,0.1225,2.0,2.0,0.0,0.0,0.309,0.145,0.0,0.0001,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node3,0.2733333333333333,0.12916666666666668,1.9,1.9,0.0,0.0,1.96,0.777,0.0,0.0008,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node1,0.8741666666666666,0.2866666666666667,2.68,2.68,0.0,0.0,2.07,1.92,0.0,0.0019,0.0,createRevocationRegistry_report_80_20250326-094732.html,80
/node4,0.8083333333333332,0.2891666666666667,1.92,1.92,0.0,0.0,1.89,2.2,0.0,0.0021,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node2,0.8958333333333334,0.5133333333333333,1.96,1.96,0.0,0.0,1.34,1.2,0.0,0.0012,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node6,0.8691666666666666,0.4633333333333333,2.68,2.64,0.0,0.0,1.34,101.0,0.0,0.0986,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node5,0.8066666666666666,0.3925,1.98,1.98,0.0,0.0,1.34,0.137,0.0,0.0001,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node3,1.45,0.6133333333333334,1.9,1.9,0.0,0.0,1.43,1.2,0.0,0.0012,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node1,1.3724999999999998,0.63,2.68,2.68,0.0,0.0,0.91,1.1,0.0,0.0011,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node4,0.8083333333333332,0.2891666666666667,1.92,1.92,0.0,0.0,1.89,2.2,0.0,0.0021,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node2,0.8958333333333334,0.5133333333333333,1.96,1.96,0.0,0.0,1.34,1.2,0.0,0.0012,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node6,0.8691666666666666,0.4633333333333333,2.68,2.64,0.0,0.0,1.34,101.0,0.0,0.0986,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node5,0.8066666666666666,0.3925,1.98,1.98,0.0,0.0,1.34,0.137,0.0,0.0001,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node3,1.45,0.6133333333333334,1.9,1.9,0.0,0.0,1.43,1.2,0.0,0.0012,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node1,1.3724999999999998,0.63,2.68,2.68,0.0,0.0,0.91,1.1,0.0,0.0011,0.0,createRevocationRegistry_report_120_20250326-094846.html,120
/node4,0.285,0.09166666666666667,2.12,2.12,0.0,0.0,1.38,8.0,0.0,0.0078,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node2,0.14416666666666667,0.055,2.18,2.18,0.0,0.0,1.22,12.0,0.0,0.0117,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node6,0.12833333333333333,0.041666666666666664,2.01,2.01,0.0,0.0,0.453,0.0,0.0,0.0,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node5,0.12916666666666668,0.051666666666666666,2.06,2.06,0.0,0.0,0.934,88.0,0.0,0.0859,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node3,0.12583333333333332,0.03916666666666666,2.04,2.04,0.0,0.0,1.2,0.0,0.0,0.0,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node1,0.205,0.06333333333333334,3.4,3.4,0.0,0.0,1.85,260.0,0.0,0.2539,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
/node4,0.285,0.09166666666666667,2.12,2.12,0.0,0.0,1.38,8.0,0.0,0.0078,0.0,createRevocationRegistry_report_60_20250326-022423.html,60
