Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
createRevocationRegistry,801,0,80.1,9.71,1.18,6.19,56.1,createRevocationRegistry_report_80_20250326-094732.html,80
createRevocationRegistry,1200,0,120.1,13.76,7.61,10.93,62.1,createRevocationRegistry_report_120_20250326-094846.html,120
createRevocationRegistry,601,0,60.1,7.03,1.29,4.0,44.3,createRevocationRegistry_report_60_20250326-022423.html,60
createRevocationRegistry,201,0,20.1,5.8,0.48,3.28,16.0,createRevocationRegistry_report_20_20250326-101100.html,20
createRevocationRegistry,401,0,40.1,6.18,0.79,3.42,30.2,createRevocationRegistry_report_40_20250326-083020.html,40
createRevocationRegistry,601,0,60.1,6.82,1.28,3.92,44.2,createRevocationRegistry_report_60_20250326-020222.html,60
createRevocationRegistry,1201,0,120.2,8.38,1.7,5.16,86.2,createRevocationRegistry_report_120_20250326-083201.html,120
createRevocationRegistry,201,0,20.1,5.54,0.36,2.99,16.0,createRevocationRegistry_report_20_20250326-082956.html,20
createRevocationRegistry,990,0,98.9,7.31,1.5,4.53,71.8,createRevocationRegistry_report_100_20250326-083136.html,100
createRevocationRegistry,801,0,80.1,7.25,1.34,4.25,58.8,createRevocationRegistry_report_80_20250326-020247.html,80
createRevocationRegistry,401,0,40.1,6.14,0.64,3.39,30.4,createRevocationRegistry_report_40_20250326-101125.html,40
createRevocationRegistry,1199,0,119.8,8.69,1.43,5.59,86.4,createRevocationRegistry_report_120_20250326-022539.html,120
createRevocationRegistry,601,0,60.1,7.99,0.89,5.36,43.3,createRevocationRegistry_report_60_20250326-094705.html,60
createRevocationRegistry,1001,0,100.2,7.61,1.19,4.57,74.8,createRevocationRegistry_report_100_20250326-020313.html,100
createRevocationRegistry,1001,0,100.2,8.11,1.5,4.84,73.7,createRevocationRegistry_report_100_20250326-022514.html,100
createRevocationRegistry,201,0,20.1,5.74,0.45,3.1,16.3,createRevocationRegistry_report_20_20250326-020133.html,20
createRevocationRegistry,201,0,20.1,5.51,0.47,2.98,15.2,createRevocationRegistry_report_20_20250326-022333.html,20
createRevocationRegistry,401,0,40.1,6.1,0.87,3.41,29.8,createRevocationRegistry_report_40_20250326-022358.html,40
createRevocationRegistry,201,0,20.1,6.23,1.09,3.6,13.6,createRevocationRegistry_report_20_20250326-094610.html,20
createRevocationRegistry,788,0,78.8,7.09,1.48,4.22,58.1,createRevocationRegistry_report_80_20250326-022448.html,80
createRevocationRegistry,401,0,40.1,6.02,0.82,3.5,29.6,createRevocationRegistry_report_40_20250326-020157.html,40
createRevocationRegistry,401,0,40.1,6.81,1.01,4.02,30.4,createRevocationRegistry_report_40_20250326-094639.html,40
createRevocationRegistry,1001,0,100.1,8.68,1.63,5.36,70.5,createRevocationRegistry_report_100_20250326-101301.html,100
createRevocationRegistry,1201,0,120.1,8.4,2.31,5.17,83.1,createRevocationRegistry_report_120_20250326-020338.html,120
createRevocationRegistry,1201,0,120.1,8.79,1.51,5.68,83.7,createRevocationRegistry_report_120_20250326-101326.html,120
createRevocationRegistry,601,0,60.1,6.85,1.3,3.94,44.1,createRevocationRegistry_report_60_20250326-083045.html,60
createRevocationRegistry,801,0,80.1,7.42,1.46,4.42,58.1,createRevocationRegistry_report_80_20250326-083110.html,80
createRevocationRegistry,1001,0,100.2,9.75,5.65,7.48,63.8,createRevocationRegistry_report_100_20250326-094817.html,100
createRevocationRegistry,601,0,60.1,6.76,1.19,3.91,44.2,createRevocationRegistry_report_60_20250326-101150.html,60
createRevocationRegistry,801,0,80.1,7.52,1.94,4.6,55.9,createRevocationRegistry_report_80_20250326-101215.html,80
