Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.0675,0.030833333333333334,2.0,1.99,0.0,0.0,8.37,37.0,0.0,0.0361,0.0,createSchema_report_20_20250326-093913.html,20
/node2,0.3941666666666667,0.16,1.93,1.91,0.0,0.0,11.2,58.2,0.0,0.0568,0.0,createSchema_report_20_20250326-093913.html,20
/node6,0.22333333333333336,0.10916666666666668,3.64,3.62,0.0,0.0,11.9,33.6,0.0,0.0328,0.0,createSchema_report_20_20250326-093913.html,20
/node5,0.21833333333333335,0.1125,2.08,2.07,0.0,0.0,8.27,42.1,0.0,0.0411,0.0,createSchema_report_20_20250326-093913.html,20
/node3,0.2325,0.11499999999999999,1.88,1.87,0.0,0.0,12.0,30.3,0.0,0.0296,0.0,createSchema_report_20_20250326-093913.html,20
/node1,0.4633333333333333,0.18666666666666668,2.76,2.75,0.0,0.0,8.46,44.8,0.0,0.0437,0.0,createSchema_report_20_20250326-093913.html,20
/node4,0.0675,0.030833333333333334,2.0,1.99,0.0,0.0,8.37,37.0,0.0,0.0361,0.0,createSchema_report_20_20250326-093913.html,20
/node2,0.3941666666666667,0.16,1.93,1.91,0.0,0.0,11.2,58.2,0.0,0.0568,0.0,createSchema_report_20_20250326-093913.html,20
/node6,0.22333333333333336,0.10916666666666668,3.64,3.62,0.0,0.0,11.9,33.6,0.0,0.0328,0.0,createSchema_report_20_20250326-093913.html,20
/node5,0.21833333333333335,0.1125,2.08,2.07,0.0,0.0,8.27,42.1,0.0,0.0411,0.0,createSchema_report_20_20250326-093913.html,20
/node3,0.2325,0.11499999999999999,1.88,1.87,0.0,0.0,12.0,30.3,0.0,0.0296,0.0,createSchema_report_20_20250326-093913.html,20
/node1,0.4633333333333333,0.18666666666666668,2.76,2.75,0.0,0.0,8.46,44.8,0.0,0.0437,0.0,createSchema_report_20_20250326-093913.html,20
/node4,0.9658333333333333,0.2866666666666667,1.72,1.72,0.0,0.0,4.6,32.0,0.0,0.0312,0.0,createSchema_report_80_20250326-015634.html,80
/node2,0.88,0.26416666666666666,2.85,2.85,0.0,0.0,0.0156,8.0,0.0,0.0078,0.0,createSchema_report_80_20250326-015634.html,80
/node6,0.8825,0.2608333333333333,1.85,1.84,0.0,0.0,36.4,28.0,0.0,0.0273,0.0,createSchema_report_80_20250326-015634.html,80
/node5,0.9808333333333333,0.31666666666666665,1.74,1.74,0.0,0.0,36.4,8.0,0.0,0.0078,0.0,createSchema_report_80_20250326-015634.html,80
/node3,0.9283333333333333,0.2816666666666667,1.78,1.78,0.0,0.0,1.65,0.0,0.0,0.0,0.0,createSchema_report_80_20250326-015634.html,80
/node1,0.9358333333333334,0.29833333333333334,3.03,3.03,0.0,0.0,40.4,4.0,0.0,0.0039,0.0,createSchema_report_80_20250326-015634.html,80
/node4,0.9658333333333333,0.2866666666666667,1.72,1.72,0.0,0.0,4.6,32.0,0.0,0.0312,0.0,createSchema_report_80_20250326-015634.html,80
/node2,0.88,0.26416666666666666,2.85,2.85,0.0,0.0,0.0156,8.0,0.0,0.0078,0.0,createSchema_report_80_20250326-015634.html,80
/node6,0.8825,0.2608333333333333,1.85,1.84,0.0,0.0,36.4,28.0,0.0,0.0273,0.0,createSchema_report_80_20250326-015634.html,80
/node5,0.9808333333333333,0.31666666666666665,1.74,1.74,0.0,0.0,36.4,8.0,0.0,0.0078,0.0,createSchema_report_80_20250326-015634.html,80
/node3,0.9283333333333333,0.2816666666666667,1.78,1.78,0.0,0.0,1.65,0.0,0.0,0.0,0.0,createSchema_report_80_20250326-015634.html,80
/node1,0.9358333333333334,0.29833333333333334,3.03,3.03,0.0,0.0,40.4,4.0,0.0,0.0039,0.0,createSchema_report_80_20250326-015634.html,80
/node4,1.4008333333333332,0.38999999999999996,1.96,1.95,0.0,0.0,2.04,0.621,0.0,0.0006,0.0,createSchema_report_60_20250326-100539.html,60
/node2,0.1275,0.06333333333333334,2.08,2.08,0.0,0.0,2.02,0.68,0.0,0.0007,0.0,createSchema_report_60_20250326-100539.html,60
/node6,0.13416666666666668,0.04416666666666667,2.0,2.0,0.0,0.0,8.66,2.51,0.0,0.0025,0.0,createSchema_report_60_20250326-100539.html,60
