Round,Success,Fail,SendRate,MaxLatency,MinLatency,AvgLatency,Throughput,ReportFile,ConfiguredTPS
CreateSchema,201,0,20.1,6.0,0.57,3.33,16.3,createSchema_report_20_20250326-093913.html,20
CreateSchema,800,1,80.1,10.48,1.94,6.46,54.3,createSchema_report_80_20250326-015634.html,80
CreateSchema,600,1,60.1,8.85,1.79,5.44,42.7,createSchema_report_60_20250326-100539.html,60
CreateSchema,1199,2,120.1,14.45,4.11,9.64,61.9,createSchema_report_120_20250326-082551.html,120
CreateSchema,401,0,40.1,6.95,1.19,4.0,29.4,createSchema_report_40_20250326-082403.html,40
CreateSchema,400,1,40.1,7.2,1.11,4.15,30.3,createSchema_report_40_20250326-021735.html,40
CreateSchema,1199,2,120.1,21.27,4.21,15.65,42.7,createSchema_report_120_20250326-094134.html,120
CreateSchema,1201,0,120.1,13.62,4.76,9.7,63.0,createSchema_report_120_20250326-015729.html,120
CreateSchema,201,0,20.1,5.83,0.68,3.19,15.0,createSchema_report_20_20250326-021711.html,20
CreateSchema,801,0,80.1,10.46,1.14,6.65,54.2,createSchema_report_80_20250326-021826.html,80
CreateSchema,201,0,20.1,6.24,0.89,3.52,14.8,createSchema_report_20_20250326-100448.html,20
CreateSchema,201,0,20.1,5.86,0.36,3.22,16.7,createSchema_report_20_20250326-015519.html,20
CreateSchema,1000,1,100.1,12.95,0.4,10.07,53.9,createSchema_report_100_20250326-082521.html,100
CreateSchema,1201,0,120.1,14.06,4.84,9.65,62.5,createSchema_report_120_20250326-021923.html,120
CreateSchema,999,2,100.1,16.02,7.44,11.84,47.6,createSchema_report_100_20250326-100633.html,100
CreateSchema,601,0,60.1,8.18,1.79,4.91,43.0,createSchema_report_60_20250326-082429.html,60
CreateSchema,801,0,80.1,10.05,1.43,6.47,53.9,createSchema_report_80_20250326-082454.html,80
CreateSchema,601,0,60.1,10.32,2.05,6.35,40.4,createSchema_report_60_20250326-094003.html,60
CreateSchema,401,0,40.1,7.01,1.17,4.06,29.4,createSchema_report_40_20250326-015543.html,40
CreateSchema,400,1,40.1,7.82,1.52,4.52,29.1,createSchema_report_40_20250326-093937.html,40
CreateSchema,601,0,60.1,8.21,1.5,4.9,43.4,createSchema_report_60_20250326-021801.html,60
CreateSchema,201,0,20.1,5.97,0.71,3.3,15.5,createSchema_report_20_20250326-082339.html,20
CreateSchema,1000,1,100.1,11.46,0.88,8.56,57.9,createSchema_report_100_20250326-015700.html,100
CreateSchema,999,2,100.2,14.96,4.28,11.36,44.6,createSchema_report_100_20250326-094059.html,100
CreateSchema,800,1,80.1,12.27,1.14,8.9,44.6,createSchema_report_80_20250326-094029.html,80
CreateSchema,1000,1,100.1,13.26,7.45,10.34,54.1,createSchema_report_100_20250326-021853.html,100
CreateSchema,401,0,40.1,7.65,1.26,4.49,29.5,createSchema_report_40_20250326-100513.html,40
CreateSchema,801,0,80.1,11.19,1.5,7.84,49.2,createSchema_report_80_20250326-100605.html,80
CreateSchema,601,0,60.1,8.1,1.65,4.81,43.6,createSchema_report_60_20250326-015609.html,60
CreateSchema,1197,4,120.1,20.68,0.43,15.78,46.1,createSchema_report_120_20250326-100705.html,120
