Node,CPU%(max),CPU%(avg),Memory(max) [GB],Memory(avg) [GB],Traffic In [B],Traffic Out [B],Disc Write [B],Disc Read [B],Disc Write [MB],Disc Read [KB],Disc Read [GB],ReportFile,Rate
/node4,0.14583333333333334,0.051666666666666666,1.76,1.76,0.0,0.0,4.24,4.0,0.0,0.0039,0.0,updateDid_report_80_20250326-015404.html,80
/node2,0.15583333333333335,0.049999999999999996,2.85,2.85,0.0,0.0,2.55,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node6,0.15333333333333335,0.047499999999999994,1.85,1.85,0.0,0.0,1.84,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node5,0.13999999999999999,0.04416666666666667,1.78,1.78,0.0,0.0,0.715,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node3,0.15083333333333335,0.049999999999999996,1.78,1.78,0.0,0.0,2.59,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node1,0.21,0.06333333333333334,3.02,3.02,0.0,0.0,2.97,48.0,0.0,0.0469,0.0,updateDid_report_80_20250326-015404.html,80
/node4,0.14583333333333334,0.051666666666666666,1.76,1.76,0.0,0.0,4.24,4.0,0.0,0.0039,0.0,updateDid_report_80_20250326-015404.html,80
/node2,0.15583333333333335,0.049999999999999996,2.85,2.85,0.0,0.0,2.55,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node6,0.15333333333333335,0.047499999999999994,1.85,1.85,0.0,0.0,1.84,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node5,0.13999999999999999,0.04416666666666667,1.78,1.78,0.0,0.0,0.715,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
/node3,0.15083333333333335,0.049999999999999996,1.78,1.78,0.0,0.0,2.59,0.0,0.0,0.0,0.0,updateDid_report_80_20250326-015404.html,80
